untiID,Чему вы научились в рамках курса?
1042938,определение ЦА позиционирование создание контента и планирование размещения визуализация продажа в соцсетях инструменты оформления как писать посты различие способы продвижения
531456,"В рамках курса я освоила инструменты по созданию контента  (текст, фото, видео), продвижения его в социальных сетях. Научилась сегментировать свою ЦА,  поняла принципы продаж.   Сам курс очень понравился, как и подача материала. Хрипунова Олеся - прекрасный преподаватель, отлично разбирающаяся в этом предмете  и умеющая  понятно донести свои знания."
1015532,"Анализу ЦА, что аккаунт должен не только продавать,но и быть полезным, дизайну шаблонов в сервисе Canva, узнала как писать посты по структуре, о видах постов, также много других программ(сайтов) позволяющих помочь правильно, без воды, грамотно составить тексты поста. В общем, очень полезный курс, время потрачено не зря."
1037182,"Созданию и продвижению собственного продающего ресурса в социальных сетях, созданию собственного цифрового контента и визуала, определению целевой аудитории, позиционированию в соцсетях, SMM - продвижению. Узнала о способах монетизации в социальных сетях и существующих ресурсах для формирования и редактирования  контента."
1036621,"Научилась определять ЦА, чтобы лучше понимать, что им предложить. Поняла, как нужно составлять текст, использовать больше глаголов и писать простым языком. А также разобралась с инструментами в Canva. Научилась правильно и красиво создавать картинки к постам. На курсе дали очень много полезных ресурсов. Так что после окончания курса есть чем заняться."
1033515,"Определять целевую аудиторию, выявлять её потребности. Научилась составлять контент- план, узнала его принципы составления. Узнала бесплатные способы продвижения аккаунта. Узнала как создавать свой оригинальный цифровой контент. Узнала много новых приложений и полезных программ."
1054174,1) Конкретизировать цели создания своего аккаунта 2) Постоянный анализ своей ЦА 3) Технические уроки были полезны. Узнала много нового
345967,"Я научился определять свою Целевую аудиторию.Узнал о 4 инструментах, как их определить. Узнал о том, как найти своё позиционирование.О стратегиях позиционирования.Узнал о проблемах оформления соц. сетей и том, как правильно её оформлять.Узнал о видах контента и алгоритмов составления К-П. О том, как правильно писать текст для постов.О визуальном оформление постов, ошибках составления и как правильно составлять.Узнал о том, как правильно создавать видео-контент.Узнал, как правильно общаться с подписчиками и клиентами.О 8 бесплатных способах продвижения и 4 платных!Благодарю Вас!"
546342,"Аутентификация, Фишинг, APT-угроза, APT-атака."
345368,информационная безопасность
1022010,"угрозы ИБ, информационная безопасность, кибербезопасность, информация, защита информации,"
1030428,Механизмы идентификации и аутентификации. Способы аутентификации. Понятие биометрической системы.
1019315,"Кибербезопасность, Информационная безопасность, Биометрия"
996546,"Верификация,Идентификация,Доктрина информационной безопасности"
1038451,"кибербезопасность, угрозы, утечки, биометрические данные"
994134,угрозы кибербезопасности
1035731,"Изучены теоретические основы кибербезопасности, основные направления политики государства в этой области. стандарты кибербезопасности, формулировки киберугроз и способов противодействия им."
1005714,штриховое кодирование
1036835,Биометрические системы идентификации
1025097,"Доктрина информационной безопасности, критическая информационная инфраструктура, модель угроз и нарушителей, информационное воздействие"
1038141,Много полезной и нужной практикоориентированной информации по информационной безопасности защите данных
282658,"информационная безопасность, биометрическая идентификация, защита информации; кибербезопасность; угроза безопасности информации; нарушитель информационной безопасности организации;"
1024982,вся тема кибербезопасности для меня оказалась новой и шире моих представлений о защите данных. все понятия и термины по модулю биометрических данных новые для меня
1050800,"кибербезопасность, виды угроз, цифровая гигиена, мультимодальные биометрические системы, группы методов идентификации и др"
1027329,"Кибербезопасность, киберугрозы, биометрических системы, средства защиты информации, законы по защите компьютерной информации"
1005376,"информационная безопасность, кибербезопасность, авторское право, угрозы ИБ, виды угро и нарушителей, базовая модель угроз"
1056251,"Кибербезопасность, информационная безопаснсоть, вот только основные моменты, так понятий множество"
993508,"Электронная личность, свойства информации, классификация угроз информационной безопасности"
1022425,"кибербезопасность, биометрические данные"
794255,Биометрические системы защиты данных
1043461,"кибербезопасность, кибервойна, цифровая трансформация, механизмы аутентификации, биометрические системы"
1019662,"Программные и аппаратные средства защиты информации, правовые основы защиты информации, системы биометрической идентификации и аутентификации"
543814,Кибербезопасность. Дотрина и различные терминология которую нужно знать.
999017,"«кибербезопасность», «киберпространство», «киберпреступление», «кибервойна»"
976596,"биометрическая идентификация,методы и критерии идентификации"
586888,"Аутентификация отправителя данных,закладочное устройство,информативный сигнал,источник угрозы безопасности информации,межсетевой экран,недекларированные возможности,побочные электромагнитные излучения и наводки"
1056123,"кибербезопасность, кибератака, биометрические параметры"
1029506,Кибербезопасность. Доктрина и различные терминология которую нужно знать.
1018269,"Киберпреступление, кибервойна"
267617,"Кибербезопасноть, Аппаратная защита информации, Биометрические системы защиты, Угрозы кибербезопасности, Кибервойна и др."
454146,"Биометрические системы защиты, Электронная подпись, Информационная безопасность, Кибербезопасность, Кибервойна и др."
959784,"кибербезопасность, киберпреступления, информационная безопасность"
66043,"ПД, защита ПД, кибербезопасность, доступ к данным."
980109,"«кибербезопасность», «киберпространство», «киберпреступления», «кибервойна»"
1025060,"Аутентичность информации, Верификация"
996937,"Все понятия и термины, связанные с кибербезопасностью и защтой данных"
101368,кибербезопасность
1005173,Биометрические системы идентификации
1049147,"Кибервойна, социальная инженерия, кибербезопасность, угрозы кибербезопасности и др."
548942,"Биометрическая идентификация, Верификация, Аппаратный средства защиты информации"
547701,"Основные понятия кибербезопасности и информационной безопасности, правовые основы защиты, программные средства защиты данных, биометрические системы идентификации"
1029815,технологии биометрической идентификации
1025375,Биометрические системы идентификации
1054840,штриховое кодирование
416651,Кибервойна
1038535,"кибербезопасность, угрозы, утечки, биометрические данные"
935914,"Киберпреступление, кибервойна"
1056151,"Аутентификация, Фишинг, APT-угроза, APT-атака."
444940,"Шифрование, аутентификация, биметрические схемы и параметры, кодирование, информационная безопасность"
992171,угрозы кибербезопасности
1003227,Биометрические системы идентификации
546588,"Шифрование, аутентификация, биметрические схемы и параметры, кодирование, информационная безопасность"
573570,"Защита информации, биометрия, USB-ключ, шифрование данных"
1052065,технологии биометрической идентификации
999088,"Основные понятия кибербезопасности и информационной безопасности, правовые основы защиты, программные средства защиты данных, биометрические системы идентификации"
996394,Данный курс расширил мои знания в области понятий и терминов в области информационной и кибербезопасноти.
978459,"Защита информации, биометрия, USB-ключ, шифрование данных"
1047313,"информационная безопасность, биометрическая идентификация, защита информации; кибербезопасность; угроза безопасности информации; нарушитель информационной безопасности организации;"
436696,Много полезной и нужной практикоориентированной информации по информационной безопасности защите данных
1035884,"Изучены теоретические основы кибербезопасности, основные направления политики государства в этой области. стандарты кибербезопасности, формулировки киберугроз и способов противодействия им."
1051620,"Биометрические системы защиты, Электронная подпись, Информационная безопасность, Кибербезопасность, Кибервойна и др"
1017384,Механизмы идентификации и аутентификации. Способы аутентификации. Понятие биометрической системы.
364885,"Кибербезопасность, информационная безопасность, киберпреступления, угрозы кибербезопасности, программные средства защиты данных, биометрическая система и т.д."
1016865,"угрозы ИБ, информационная безопасность, кибербезопасность, информация, защита информации"
991162,"«кибербезопасность», «киберпространство», «киберпреступление», «кибервойна»"
1026342,"Программные и аппаратные средства защиты информации, правовые основы защиты информации, системы биометрической идентификации и аутентификации"
991819,Кибербезопасность. Доктрина и различные терминология которую нужно знать.
992737,"Шифрование, аутентификация, биметрические схемы и параметры, кодирование, информационная безопасность"
669137,"биометрическая идентификация,методы и критерии идентификации"
1051479,"Все понятия и термины, связанные с кибербезопасностью и защтой данных"
1056703,"Защита информации, биометрия, USB-ключ, шифрование данных"
454390,"Киберпреступление, кибервойна"
548660,"Аутентичность информации, Верификация"
990573,штриховое кодирование
357117,0
1056031,"Составлять тесты, организовывать видеоконференции, обеспечивать дистанционное обучение у обучающихся"
1054765,0
1054663,"Проведению видеоконференций, созданию заданий в виде тестов и форм на платформе Microsoft Form"
1051192,"Составлять тесты, организовывать видеоконференции, вообщем обеспечивать дистанционное обучение"
893724,0
1048473,"Эффективной работе в office365, получил навыки работы с MS Teams, также навыки в организации видеоконференций, создание тестов и форм заданий в MS Forms, создание качественных презентаций, работа с записной книжкой и др."
1054640,0
1056024,"Навыкам работы с Office 365, в частности с Microsoft Teams и Microsoft Forms: организация команд, проведение видеозанятий, осуществление контроля знаний обучающихся."
1055485,0
403930,0
995467,"Программным модулям, навыки пользования"
972555,"использовать Office 365 для создания презентаций, проведения видеоконференций, контроля и оценивания знаний, анализа успеваемости учащихся, работы с записными книжками, создание каналов и т.д."
1056052,"впервые познакомилась с платформой Microsoft Teams, было интересно научиться работать в системе."
1057232,Работе с новой платформой дистанционного образования
1056862,"Использовать Office 365 для создания презентаций, проведения видеоконференций, контроля и оценивания знаний, анализа успеваемости учащихся, работы с записными книжками, создание каналов и т.д."
1045493,Разработать процесс дистанционного обучения на платформе Teams
1054823,"работа в Office 365,"
933365,0
1050134,0
1049102,"Познакомилась с платформой Microsoft Office 365. Открыла для себя удобство Microsoft Teams, научилась создавать проверочные формы и тесты. Пытаюсь подключить всю свою большую школу на дистанционное обучение через эту платформу."
1057370,0
1055305,Проектированию цифрового образовательного процесса в системе Microsoft Teams
1051135,Организовывать дистанционное обучение
949511,0
81291,работать с office 365
783054,Проектированию цифрового образовательного процесса в системе Microsoft Teams
1048894,"впервые познакомилась с платформой microsoft teams, было интересно научиться работать в той системе."
646016,В рамках данного курса познакомилась с различными элементами
1051315,На данном курсе я получила навыки работы в среде Office 365 и формированию дистанционного обучения
1053878,0
1051245,"Составлять тесты, организовывать видеоконференции, вообщем обеспечивать дистанционное обучение"
1053117,"навыки в организации видеоконференций, создание тестов и форм заданий в MS Forms, создание качественных презентаций, работа с записной книжкой"
1051327,организовать реализацию образовательных программ с помощью сервисов и приложений Office 365
1045824,Разработать процесс дистанционного обучения на платформе Тeams
1054081,"работа с MC Teams, Stream, общая работа в Office 365"
1056708,В рамках данного курса я получила навыки работы в среде Office 365 и формированию дистанционного обучения
1003140,Проектирование образовательного процесса на платформе Office 365
986629,Работа в среде Microsft Office 365. Работа с основными элементами данной системы и создание цифрового материала
1054173,0
1053256,Познакомилась с работой новых приложений
1050592,Организовывать дистанционное обучение на базе MS Teams
1057117,На данном курсе я получила навыки работы в среде Office 365 и формированию дистанционного обучения
1056787,Навыки работы с системой дистанционного образования
1056904,"организовывать видеоконференции, обеспечивать дистанционное обучение у обучающихся"
1051355,Вести занаятия дистанционно
1055384,0
1055146,0
526945,0
488761,0
1042896,планировать дистанционно образовательный процесс
1057244,0
1053790,"Составлять тесты, организовывать видеоконференции, проводить дистанционное обучение"
621597,"Проведению видеоконференций, созданию заданий в виде тестов и форм на платформе Microsoft"
986109,новым возможностям образовательного процесса
422325,"создавать на платформе рабочую группу, отдельные каналы, обучать по видеоконференции и записывать его, а так же создовать контрольные оценочные средства по средством приложения form"
1051614,"Работа в ранее мной неизученных Microsoft Teams, Microsoft Stream , применение их при проведение практических занятий"
1056053,"Работать с записной книжкой, создавать тесты в Microsoft Forms"
1051015,"Составлять тесты, организовывать видеоконференции, обеспечивать дистанционное обучение у обучающихся"
1051256,"Навыкам работы с Office 365, с Microsoft Teams и Microsoft Forms:"
465572,"Узнала как делать дизайн, как работать с умной лентой, поняла, что в продвижении в инстаграме  очень много нюансов. На практике я применила: контент-план, 1 пост/день, 3 сториз/день, фотосессия, хэштеги, вопросы аудитории, оформление шапки профиля, аватара, актуальных, IG TV и LIVE, к сожалению, применила очень мало. У меня увеличилось количество посещений за неделю: было 1-2, стало - 75.  Охват повысился почти до 1000, а было около 200, в директ, ватсап пишут, посещение сайта чуть увеличилось"
1043065,"В рамках курса приобрел навыки коммуникации с клиентом. Постановки задач клиенту в области работы с умной лентой. Научился как работать с хештегами, анализировать конкурентов через автоматизированные средства. Понял как писать истории."
1047641,Научилась обрабатывать фото и видео. Узнала об аналитике в Инстаграм и других ресурсах для аналитики. Узнала как работают комментарии и хэштэги. 
903859,"Я реально понял как нужно оформлять аккаунт - шапку профиля, публикации, фотографии.
Теперь обращаю внимание на аналитику и контент-план, постоянно его пересматриваю.
Стал в постах использовать примеры из жизни - истории, люди просят продолжения.
Разбавил по категориям свой контент - теперь и юмор и развлекательные и видео и новости, полезности. Организовал первый марафон -участников 12 человек, подписчиков на странице пока 96.
"
1051813,"Моя профессия далека от темы продаж, поэтому пройдя этот курс я узнала о механизмах взаимодействия с клиентами (я не только веду дизайнерскую часть аккаунта компании, в которой работаю, но и веду переписку в директ с клиентами). Курс дал мне понимание, что создать свой бренд необходимо на основе плюсов конкурентов и их перенимания и добавления своих, уникальных отличительных особенностей. Также за счет курса я поняла, что необходимо уделить особое внимание рекламе, как таргетированний, так и у блоггеров, использовать лайктаймы для увеличения охватов (уже успешно пользуюсь этим методом), научилась делать разнообразный контент, подстроенный под аватара (про это тоже узнала именно на курсе), осознала необходимость видео-контента и  методов сторителлинга как методов, наиболее популярных среди пользователей сети."
1049284,"Уже хорошо получается работать в программе по созданию постов и сториз Canva. Получаются неплохие шаблончики.   Поняла что контент очень важен и  его надо делать интересным, в вашем изложении это зашло, но по нашей специфики не всегда получается делать интересно. С видео пока не получается, надо продумать тексты так  как  хочется чтобы он был связан с темой товара.Хорошо освоила обмениваться лайками в Лайктаймах.  "
1050973,"В рамках курса я научилась, как правильно создавать контент для ведения блога. Как правильно находить блогеров и паблики с ЦА подходящие к моему аватару, для рекламы.  Применила на практике, как правильно вести анализ конкурентов, что позволило найти идеи для контента моего аккаунта. Создала insta-лендинг. Повысила посещение профиля в  7 раз.  Создала марафон и готовлю его к запуску. Научилась как правильно проводить конкурсы и лайк-таймы для большей вовлеченности аудитории. Сделала и запустила первый рекламный макет. Могу провести анализ эффективности постов и работы в целом через автоматизированные сервисы. А также создала книгу кейсом о опыте в моей работе и пару pdf, в качестве бонуса клиентам."
1046418,п0-другому подавать информацию
1039689,"В начале изучения данного курса, у меня не было своего аккаунта в Instagram. Изучив первые занятия, я осознал необходимость его наличия. Изучая пошагово темы уроков я создал его безо всякого труда. Сначала не было ни одного подписчика. Проходя уроки и выполняя задания профиль стал преображаться, стал появляться контент, а вслед за этим и подписчики, которые являются моими клиентами. Отдельно понравились разделы о дизайне и продвижении. Узнал что есть чаты активности, можно делать марафоны, взаимный followig, конкурсы, вечные stories. Используя некоторые из этих способов я стал набирать подписчиков. Все довольно доходчиво рассказано и показано."
1041878,"С нуля заведен аккаунт в Инстаграм, оформлена шапка профиля, таплинк, highlights. 
Определены аватары клиентов, в соответствии с которыми и готовится контент. Определены задачи и написана стратегия продвижения. Проведен анализ конкурентов, выявлены их сильные и слабые стороны для лучшей отстройки. 
Получен навык обработки фотографий и формирования ленты.  
Применяется различные категории контента, подготовлен контент план на месяц и ясны принципы его формирования на будущее. 
Получен навык публикаций сториз, понимание их структуры и задач. Проведены LIVE  и записи IGTV. 
Усвоены и  активно применяются принципы и правила для продвижения аккаунта. "
1054200,"Я научилась составлять аватар клиента, выявлять целевые группы, создавать несложный дизайн, обработка фото."
1057396,"- научилась создавать аккаунты в Инстаграмм
- получила представление что такое профессия СММ специалист
- научилась создавать контент план
- научилась формировать стратегию СММ продвижения
- получила навыки оформления аккаунта, шапки профиля, вечных сториз, дизайна страницы, визуальной концепции
- научилась создавать лендинговые страницы и поняла зачем это нужно
- поняла, какой контент самый важный и какие посты должны бить в ленте, зачем нужен видеоконтентн
- узнала, какие есть способы повышения вовлеченности целевой группы и интереса к аккаунту
- узнала, зачем нужна калаборация с другими блогерами
- научилась создавать продающий оффер"
787763,"Научился прорабатывать продукт, выбирать продукт локомотив. Научился оформлению и дизайну аккаунта и постов. Научился составлять аватар клиента и понял, что это значительно упрощает составление контент-плана. Научился правильному составлению текста поста - сторителлингу, регулярно применяю в своем аккаунте и на мое удивление это очень нравится аудитории. Люди действительно читают! Узнал основы по работе с алгоритмами умной ленты. Узнал как набирать первую аудиторию через фолловинг - это работает! Конверсия с фолловинга 5-6% регулярная! Не ожидал. "
1051423,"1. Научилась использовать программы для оформления красивого визуала.
2. Поняла, зачем нужны хештеги и как их использовать.
3. Обзавелась инструментами генерации контента, которые еще и позволяют планировать размещение.
4. Поняла, как работает реклама через сторителлинг. 
5. Поняла важность личного бренда."
736826,"Узнал что такое инстаграм. Как офрмить инстаграм аккаунт, узнал полезные программы позволяющие редактировать фото, и создавать красивые посты, которые можно использовать не только в инстаграм, но и в других социальных сетях.  Очень полезная информация по продвижению видеоконтента, по созданию сериалов в IG TV.
Кроме этого научился создавать план продвижения, что очень полезно при работе не только в инстангам:  аватар клиента, медиа план, план вовлеченности аудитории."
1054372,"1. Как выбрать аватар профиля
2. Конкретную шапку профиля
3. Дизайну ленты
4. Рекламе в инстаграм."
1005406,"Благодаря курсу я научилась понимать, как работают соцсети, благодаря чему пользователи находят своих подписчиков, как наполнить инстаграм качественным интересным контентом, как разрабатывать стратегию продвижения продукта, как создавать контент-планы, как продвигать товар или услугу в инстаграм.

Я нашла свой первый аккаунт и смогла договориться с владельцем шейпинг- зала доверить мне его продвижение. Было очень приятно оправдать доверие, создать и начать продвигать аккаунт, благодаря которым люди узнают о таком хорошем клубе в нашем городе.

А больше всего мне понравились уроки, связанные с дизайном!:) Обработка фотографий, пресеты - это вообще теперь моя любовь! Возможно, буду дальше развиваться в этом направлении."
1044109,"Так как с продвижением я уже сталкивалась, то многие темы курсы уже были мне знакомы. Но как показала практика некоторые вполне себе поверхностно. 
Самое главное, чего я не знала, но научилась - это маркетинговая упаковка себя как специалиста и продвижение аккаунта. 
1. Маркетинговая упаковка далась нелегко, но вселяет уверенность в себя, свои знания и в то, что это нужно миру вокруг. Получала истинное удовольствие от реальных примеров, т.к. многие курсы не имеют подобного. До этого блока даже в голову не приходило, что можно собрать все свои кейсы и иметь под своими знаниями какой-то вес. 
2. Блок ПРОДВИЖЕНИЕ не во всем был открытием для меня, но я наконец-то поняла, как работает вся схема движения в Инстаграме. Уже не получится просто сказать ""Да, это все алгоритмы Инстаграма шалят"", потому что точно знаю, что даже если и есть такое, все можно подчинить.
3. Блок КОНТЕНТ был интересен с творческой точки зрения для меня: и в дизайне, и в тексте. Здорово, что на этапе обучения уже можно создавать собственную базу как для контента, так и для продвижения. Я не могла подумать, что уже сейчас у меня будет на руках и марафон написанный, и несколько историй сторителлинга, и куча тем для контент-плана. 

В целом, курс действительно получился полезным: как и для новичков, так и для тех, кто ""что-то слышал об этом"". Ни на минуту не пожалела ни о потраченном времени, ни о полученных знаниях, которые не применить уже не смогу!"
